Date_Stamp,Price,Open,High,Low,Change %
2017-10-27,53.9,52.8,54.2,52.25,2.39
2017-10-26,52.64,52.19,52.86,51.91,0.88
2017-10-25,52.18,52.56,52.57,51.89,-0.55
2017-10-24,52.47,51.89,52.62,51.55,1.1
2017-10-23,51.9,52.07,52.3,51.68,0.84
2017-10-20,51.47,51.42,51.73,50.7,0.35
2017-10-19,51.29,52.05,52.17,51.07,-1.44
2017-10-18,52.04,51.94,52.33,51.69,0.31
2017-10-17,51.88,51.93,52.25,51.21,0.02
2017-10-16,51.87,51.43,52.37,51.35,0.82
2017-10-13,51.45,50.73,51.72,50.7,1.68
2017-10-12,50.6,51,51.13,50.15,-1.36
2017-10-11,51.3,50.94,51.42,50.61,0.75
2017-10-10,50.92,49.55,51.06,49.54,2.7
2017-10-09,49.58,49.25,49.79,49.13,0.59
2017-10-06,49.29,50.75,50.82,49.1,-2.95
2017-10-05,50.79,49.88,51.22,49.85,1.62
2017-10-04,49.98,50.16,50.67,49.76,-0.87
2017-10-03,50.42,50.59,50.73,50.14,-0.32
2017-10-02,50.58,51.64,51.71,50.07,-2.11
2017-09-29,51.67,51.58,51.77,51.25,0.21
2017-09-28,51.56,52.05,52.86,51.22,-1.11
2017-09-27,52.14,52.09,52.34,51.63,0.5
2017-09-26,51.88,52.12,52.43,51.43,-0.65
2017-09-25,52.22,50.68,52.28,50.39,3.08
2017-09-22,50.66,50.73,50.78,50.29,0.22
2017-09-21,50.55,50.72,50.81,50.07,0.28
2017-09-20,50.41,49.84,50.65,49.75,1.88
2017-09-19,49.48,49.91,50.42,49.33,-0.86
2017-09-18,49.91,49.85,50.33,49.19,0.04
2017-09-15,49.89,49.72,50.13,49.41,0
2017-09-14,49.89,49.31,50.5,49.15,1.2
2017-09-13,49.3,48.34,49.4,48.12,2.22
2017-09-12,48.23,48.12,48.44,47.73,0.33
2017-09-11,48.07,47.58,48.27,47,1.24
2017-09-08,47.48,49.09,49.26,47.27,-3.28
2017-09-07,49.09,49.14,49.33,48.63,-0.14
2017-09-06,49.16,48.59,49.42,48.52,1.03
2017-09-05,48.66,47.28,48.98,47.15,2.64
2017-09-04,47.41,47.31,47.66,47.16,0.19
2017-09-03,47.32,47.31,47.42,47.3,0.06
2017-09-01,47.29,47.08,47.35,46.56,0.13
2017-08-31,47.23,45.95,47.47,45.58,2.76
2017-08-30,45.96,46.31,46.72,45.84,-1.03
2017-08-29,46.44,46.86,46.96,45.76,-0.28
2017-08-28,46.57,47.89,48.2,46.15,-2.72
2017-08-25,47.87,47.62,47.91,47.39,0.93
2017-08-24,47.43,48.36,48.43,47.06,-2.02
2017-08-23,48.41,47.64,48.5,47.53,1.62
2017-08-22,47.64,47.45,48.03,47.2,0.57
2017-08-21,47.37,48.72,48.75,47.03,-2.35
2017-08-18,48.51,46.93,48.74,46.78,3.02
2017-08-17,47.09,46.8,47.19,46.46,0.66
2017-08-16,46.78,47.72,47.99,46.67,-1.62
2017-08-15,47.55,47.49,47.9,47.02,-0.08
2017-08-14,47.59,48.79,49.16,47.43,-2.52
2017-08-11,48.82,48.52,48.98,47.98,0.47
2017-08-10,48.59,49.68,50.22,48.35,-1.96
2017-08-09,49.56,49,49.72,48.9,0.79
2017-08-08,49.17,49.31,49.79,48.86,-0.45
2017-08-07,49.39,49.59,49.73,48.54,-0.38
2017-08-04,49.58,48.95,49.64,48.5,1.12
2017-08-03,49.03,49.59,49.96,48.78,-1.13
2017-08-02,49.59,48.8,49.65,48.55,0.87
2017-08-01,49.16,50.21,50.43,48.37,-2.01
2017-07-31,50.17,49.85,50.41,49.18,0.93
2017-07-28,49.71,49.17,49.81,48.86,1.37
2017-07-27,49.04,48.7,49.24,48.25,0.59
2017-07-26,48.75,48.51,48.87,47.86,1.8
2017-07-25,47.89,46.46,48.66,46.38,3.34
2017-07-24,46.34,45.62,46.53,45.4,1.25
2017-07-21,45.77,46.91,47.21,45.54,-2.18
2017-07-20,46.79,47.09,47.55,46.66,-0.7
2017-07-19,47.12,46.25,47.26,46.14,1.55
2017-07-18,46.4,45.99,46.92,45.81,0.83
2017-07-17,46.02,46.68,46.88,45.89,-1.12
2017-07-14,46.54,46.08,46.74,45.8,1
2017-07-13,46.08,45.44,46.28,44.99,1.3
2017-07-12,45.49,45.74,46.48,45.11,1
2017-07-11,45.04,44.58,45.81,43.83,1.44
2017-07-10,44.4,44.35,44.84,43.65,0.38
2017-07-07,44.23,45.35,45.42,43.78,-2.83
2017-07-06,45.52,45.65,46.53,45.18,0.86
2017-07-05,45.13,47.04,47.32,44.51,-4.24
2017-07-04,47.13,47.06,47.31,46.74,0.13
2017-07-03,47.07,46.28,47.1,45.92,2.24
2017-06-30,46.04,44.89,46.35,44.88,2.47
2017-06-29,44.93,44.89,45.45,44.65,0.42
2017-06-28,44.74,43.7,44.9,43.67,1.13
2017-06-27,44.24,43.49,44.44,43.32,1.98
2017-06-26,43.38,43.16,43.65,42.63,0.86
2017-06-23,43.01,42.8,43.2,42.53,0.63
2017-06-22,42.74,42.55,43.32,42.26,0.49
2017-06-21,42.53,43.38,44.2,42.05,-1.62
2017-06-20,43.23,44.11,44.4,42.75,-2.19
2017-06-19,44.2,44.68,45.06,44.05,-1.21
2017-06-16,44.74,44.25,44.94,44.24,0.63
2017-06-15,44.46,44.69,44.81,44.22,-0.6
2017-06-14,44.73,45.94,46.49,44.54,-3.72
2017-06-13,46.46,46.01,46.57,45.56,0.82
2017-06-12,46.08,45.8,46.71,45.66,0.55
2017-06-09,45.83,45.71,46.18,45.27,0.42
2017-06-08,45.64,45.85,46.18,45.2,-0.17
2017-06-07,45.72,47.98,48.23,45.65,-5.13
2017-06-06,48.19,47.4,48.4,46.94,1.67
2017-06-05,47.4,47.71,48.42,46.86,-0.55
2017-06-02,47.66,48.04,48.19,46.74,-1.45
2017-06-01,48.36,48.63,49.17,47.9,0.08
2017-05-31,48.32,49.65,49.71,47.73,-2.7
2017-05-30,49.66,49.93,50.28,49.03,-0.62
2017-05-29,49.97,49.95,50.29,49.52,0.06
2017-05-28,49.94,49.93,50.04,49.85,0.28
2017-05-26,49.8,48.75,49.94,48.18,1.84
2017-05-25,48.9,51.25,52,48.45,-4.79
2017-05-24,51.36,51.44,51.88,51.03,-0.21
2017-05-23,51.47,51.04,51.79,50.57,1.46
2017-05-22,50.73,50.6,51.06,50.44,0.79
2017-05-19,50.33,49.28,50.53,49.28,1.99
2017-05-18,49.35,48.93,49.6,48.05,0.57
2017-05-17,49.07,48.23,49.5,48.03,0.84
2017-05-16,48.66,48.82,49.38,48.17,-0.39
2017-05-15,48.85,47.85,49.66,47.75,2.11
2017-05-12,47.84,47.81,48.07,47.35,0.02
2017-05-11,47.83,47.39,48.22,47.34,1.06
2017-05-10,47.33,46.18,47.78,46.01,3.16
2017-05-09,45.88,46.49,46.78,45.53,-1.18
2017-05-08,46.43,46.35,46.98,45.73,0.45
2017-05-05,46.22,45.51,46.68,43.76,1.54
2017-05-04,45.52,47.6,47.75,45.29,-4.81
2017-05-03,47.82,48.12,48.23,47.3,0.34
2017-05-02,47.66,48.78,49.28,47.35,-2.42
2017-05-01,48.84,49.17,49.32,48.59,-0.99
2017-04-28,49.33,49.27,49.76,48.8,0.74
2017-04-27,48.97,49.22,49.43,48.2,-1.31
2017-04-26,49.62,49.36,50.2,48.94,0.12
2017-04-25,49.56,49.22,49.83,48.87,0.67
2017-04-24,49.23,49.68,50.22,49.03,-0.79
2017-04-21,49.62,50.71,50.93,49.2,-1.29
2017-04-20,50.27,50.63,50.97,50.18,-0.34
2017-04-19,50.44,52.36,52.65,50.09,-3.76
2017-04-18,52.41,52.75,52.85,52.1,-0.46
2017-04-17,52.65,52.97,53.21,52.55,-1
2017-04-13,53.18,52.85,53.39,52.82,0.13
2017-04-12,53.11,53.4,53.76,52.71,-0.54
2017-04-11,53.4,53.13,53.45,52.7,0.6
2017-04-10,53.08,52.31,53.18,52.29,1.61
2017-04-07,52.24,51.7,52.94,51.49,1.04
2017-04-06,51.7,50.8,51.82,50.77,1.08
2017-04-05,51.15,51.18,51.88,50.74,0.24
2017-04-04,51.03,50.24,51.3,49.88,1.57
2017-04-03,50.24,50.69,50.83,50.12,-0.71
2017-03-31,50.6,50.32,50.85,49.9,0.5
2017-03-30,50.35,49.6,50.47,49.27,1.7
2017-03-29,49.51,48.47,49.63,48.38,2.36
2017-03-28,48.37,47.89,48.74,47.8,1.34
2017-03-27,47.73,48.12,48.28,47.08,-0.5
2017-03-24,47.97,47.67,48.2,47.54,0.57
2017-03-23,47.7,48.15,48.48,47.58,-0.71
2017-03-22,48.04,48.16,48.32,47.01,1.48
2017-03-21,47.34,47.93,48.73,47.23,-1.82
2017-03-20,48.22,48.7,48.74,47.84,-1.15
2017-03-17,48.78,48.79,49.2,48.6,0.06
2017-03-16,48.75,49.01,49.62,48.45,-0.23
2017-03-15,48.86,48.76,49.04,48.16,2.39
2017-03-14,47.72,48.45,48.79,47.09,-1.4
2017-03-13,48.4,48.45,48.68,47.9,-0.19
2017-03-10,48.49,49.61,50.11,48.31,-1.6
2017-03-09,49.28,50.22,50.84,48.59,-1.99
2017-03-08,50.28,52.79,52.92,50.05,-5.38
2017-03-07,53.14,53.17,53.8,52.71,-0.11
2017-03-06,53.2,53.19,53.56,52.76,-0.24
2017-03-03,53.33,52.58,53.39,52.55,1.37
2017-03-02,52.61,53.69,53.8,52.54,-2.27
2017-03-01,53.83,53.95,54.44,53.63,-0.33
2017-02-28,54.01,54.04,54.23,53.18,-0.07
2017-02-27,54.05,54.02,54.61,53.94,0.11
2017-02-24,53.99,54.33,54.51,53.76,-0.84
2017-02-23,54.45,53.91,54.94,53.87,1.6
2017-02-22,53.59,54.26,54.6,53.35,-0.87
2017-02-21,54.06,53.48,54.68,53.35,0.17
2017-02-20,53.97,53.78,54.24,53.73,0.33
2017-02-19,53.79,53.86,53.96,53.78,0.73
2017-02-17,53.4,53.47,53.52,52.88,0.07
2017-02-16,53.36,53.01,53.59,52.68,0.47
2017-02-15,53.11,53,53.51,52.73,-0.17
2017-02-14,53.2,52.91,53.72,52.86,0.51
2017-02-13,52.93,53.8,53.95,52.77,-1.73
2017-02-10,53.86,53.15,54.13,52.9,1.62
2017-02-09,53,52.37,53.21,52.37,1.26
2017-02-08,52.34,51.64,52.67,51.22,0.33
2017-02-07,52.17,53.14,53.24,51.63,-1.58
2017-02-06,53.01,53.81,54.13,52.91,-1.52
2017-02-03,53.83,53.68,54.22,53.4,0.54
2017-02-02,53.54,53.57,54.34,53.35,-0.63
2017-02-01,53.88,52.76,53.91,52.64,2.03
2017-01-31,52.81,52.6,53.56,52.24,0.34
2017-01-30,52.63,53.15,53.46,52.41,-1.02
2017-01-27,53.17,53.74,54.08,52.58,-1.13
2017-01-26,53.78,52.96,54.06,52.79,1.95
2017-01-25,52.75,52.95,53.47,52.56,-0.81
2017-01-24,53.18,52.86,53.56,52.67,0.82
2017-01-23,52.75,53.33,53.47,52.21,0.63
2017-01-20,52.42,51.45,52.9,51.39,2.04
2017-01-19,51.37,51.39,51.87,51.02,0.57
2017-01-18,51.08,52.52,52.79,50.91,-2.67
2017-01-17,52.48,52.55,53.52,52.12,-0.08
2017-01-16,52.52,52.46,52.72,52.13,0.13
2017-01-15,52.45,52.53,52.56,52.39,0.15
2017-01-13,52.37,53.05,53.17,52.27,-1.21
2017-01-12,53.01,52.37,53.5,52.12,1.45
2017-01-11,52.25,50.81,52.78,50.75,2.81
2017-01-10,50.82,51.83,52.37,50.71,-2.19
2017-01-09,51.96,53.75,53.83,51.76,-3.76
2017-01-06,53.99,53.73,54.32,53.32,0.43
2017-01-05,53.76,53.39,54.12,52.79,0.94
2017-01-04,53.26,52.49,53.43,52.15,1.78
2017-01-03,52.33,54.2,55.24,52.11,-3.15
2017-01-02,54.03,54.09,54.18,54.01,0.58
2016-12-30,53.72,53.87,54.09,53.41,-0.09
2016-12-29,53.77,53.66,54.21,53.46,-0.54
2016-12-28,54.06,53.93,54.37,53.56,0.3
2016-12-27,53.9,53.29,54.1,53.03,1.33
2016-12-26,53.19,53.33,53.34,53.14,0.32
2016-12-23,53.02,52.68,53.28,52.26,0.13
2016-12-22,52.95,52.52,53.19,52.08,0.88
2016-12-21,52.49,53.56,53.79,52.32,0.5
2016-12-20,52.23,52.11,52.7,51.85,0.21
2016-12-19,52.12,52.15,52.52,51.51,0.42
2016-12-16,51.9,51.1,52.08,50.5,1.96
2016-12-15,50.9,50.79,51.48,49.95,-0.27
2016-12-14,51.04,52.45,52.78,50.67,-3.66
2016-12-13,52.98,52.51,53.41,52.35,0.28
2016-12-12,52.83,52.58,54.51,52.18,2.58
2016-12-09,51.5,50.92,51.66,50.86,1.3
2016-12-08,50.84,49.88,50.98,49.61,2.15
2016-12-07,49.77,50.93,51.2,49.72,-2.28
2016-12-06,50.93,50.97,51.6,50.28,-1.66
2016-12-05,51.79,51.46,52.42,50.93,0.21
2016-12-02,51.68,51.01,51.73,50.18,1.21
2016-12-01,51.06,49.07,51.8,48.98,3.28
2016-11-30,49.44,45.24,49.9,45.22,9.31
2016-11-29,45.23,46.88,46.98,44.82,-3.93
2016-11-28,47.08,45.43,47.65,45.14,2.21
2016-11-25,46.06,47.97,48.26,45.88,-4
2016-11-24,47.98,48.03,48.26,47.8,0.04
2016-11-23,47.96,47.94,48.43,47.4,-0.15
2016-11-22,48.03,48.37,49.2,47.17,1.14
2016-11-21,47.49,45.83,47.8,45.77,3.94
2016-11-18,45.69,44.93,45.77,44.55,0.59
2016-11-17,45.42,45.37,46.58,44.88,-0.33
2016-11-16,45.57,45.77,46.41,45.03,-0.52
2016-11-15,45.81,43.76,46.09,43.55,5.75
2016-11-14,43.32,43.2,43.81,42.2,-0.21
2016-11-11,43.41,44.35,44.63,43.03,-2.8
2016-11-10,44.66,45.31,45.64,44.25,-1.35
2016-11-09,45.27,44.82,45.95,43.07,0.64
2016-11-08,44.98,44.97,45.39,44.41,0.2
2016-11-07,44.89,44.45,45.01,44.11,1.86
2016-11-04,44.07,44.63,44.87,43.57,-1.32
2016-11-03,44.66,45.48,45.9,44.37,-1.5
2016-11-02,45.34,46.32,46.47,44.96,-2.85
2016-11-01,46.67,46.77,47.35,46.2,-0.41
2016-10-31,46.86,48.25,48.74,46.63,-3.78
2016-10-28,48.7,49.61,49.81,48.42,-2.05
2016-10-27,49.72,49.22,50.06,49,1.1
2016-10-26,49.18,49.31,50.1,48.87,-1.56
2016-10-25,49.96,50.49,50.93,49.27,-1.11
2016-10-24,50.52,50.85,50.98,49.62,-0.65
2016-10-21,50.85,50.66,51.02,50.21,0.83
2016-10-20,50.43,51.4,51.58,50.25,-2.27
2016-10-19,51.6,50.77,51.93,50.69,2.6
2016-10-18,50.29,50.04,50.78,49.76,0.7
2016-10-17,49.94,50.23,50.58,49.47,-0.81
2016-10-14,50.35,50.58,51.14,49.9,-0.18
2016-10-13,50.44,50,50.59,49.36,0.52
2016-10-12,50.18,50.84,51.17,49.89,-1.2
2016-10-11,50.79,51.1,51.54,50.39,-1.09
2016-10-10,51.35,49.57,51.6,49.15,3.09
2016-10-07,49.81,50.59,50.74,49.4,-1.25
2016-10-06,50.44,49.65,50.63,49.33,1.22
2016-10-05,49.83,49.26,49.97,49.1,2.34
2016-10-04,48.69,48.65,49.26,48.26,-0.25
2016-10-03,48.81,48.04,49.02,47.78,1.18
2016-09-30,48.24,47.76,48.3,47.04,0.86
2016-09-29,47.83,47.2,48.32,46.6,1.66
2016-09-28,47.05,44.96,47.45,44.35,5.33
2016-09-27,44.67,45.62,45.96,44.19,-2.74
2016-09-26,45.93,44.62,46.2,44.43,3.26
2016-09-23,44.48,46.07,46.55,44.22,-3.97
2016-09-22,46.32,45.62,46.52,45.52,2.16
2016-09-21,45.34,44.5,45.65,44.5,4.37
2016-09-20,43.44,43.13,44.05,42.55,0.32
2016-09-19,43.3,43.18,44.15,43.12,0.63
2016-09-16,43.03,43.71,43.75,42.74,-2
2016-09-15,43.91,43.7,44.34,43.26,0.76
2016-09-14,43.58,45,45.33,43.42,-2.94
2016-09-13,44.9,46.06,46.13,44.77,-3
2016-09-12,46.29,45.57,46.51,44.72,0.89
2016-09-09,45.88,47.36,47.36,45.56,-3.65
2016-09-08,47.62,46.12,47.75,45.77,4.66
2016-09-07,45.5,44.85,46.17,44.55,1.49
2016-09-06,44.83,44.15,46.53,43.84,-0.53
2016-09-05,45.07,44.12,46.53,44.07,2.18
2016-09-04,44.11,44.15,44.38,44.1,-0.74
2016-09-02,44.44,43.55,44.67,43.16,2.97
2016-09-01,43.16,44.85,45.08,43,-3.45
2016-08-31,44.7,46.24,46.41,44.51,-3.56
2016-08-30,46.35,46.98,47.49,46.21,-1.34
2016-08-29,46.98,47.22,47.28,46.62,-1.39
2016-08-26,47.64,47.37,48.46,46.94,0.65
2016-08-25,47.33,46.8,47.46,46.42,1.2
2016-08-24,46.77,47.59,47.74,46.45,-2.77
2016-08-23,48.1,47.39,48.32,46.59,2.23
2016-08-22,47.05,48.4,48.4,46.75,-3.03
2016-08-19,48.52,48.33,48.75,47.93,0.62
2016-08-18,48.22,46.9,48.38,46.63,3.06
2016-08-17,46.79,46.37,46.95,45.84,0.45
2016-08-16,46.58,45.59,46.73,45.34,1.84
2016-08-15,45.74,44.74,45.93,44.38,2.81
2016-08-12,44.49,43.46,44.78,43.31,2.3
2016-08-11,43.49,41.48,43.86,41.1,4.27
2016-08-10,41.71,42.74,43.39,41.42,-2.48
2016-08-09,42.77,42.83,43.52,42.47,-0.58
2016-08-08,43.02,41.99,43.39,41.81,2.92
2016-08-05,41.8,41.84,42.1,41.06,-0.31
2016-08-04,41.93,41.16,42.08,40.43,2.69
2016-08-03,40.83,39.7,41.2,39.19,3.34
2016-08-02,39.51,40.08,40.91,39.26,-1.37
2016-08-01,40.06,41.35,41.88,39.82,-3.7
2016-07-29,41.6,41.12,41.67,40.57,1.12
2016-07-28,41.14,41.93,42.22,41.04,-1.86
2016-07-27,41.92,42.66,43.2,41.68,-2.33
2016-07-26,42.92,43.07,43.39,42.36,-0.49
2016-07-25,43.13,44.2,44.37,42.97,-2.4
2016-07-22,44.19,44.6,44.97,43.74,-1.25
2016-07-21,44.75,45.65,46.09,44.52,-0.42
2016-07-20,44.94,44.59,45.25,43.69,0.65
2016-07-19,44.65,45.23,45.67,44.53,-1.3
2016-07-18,45.24,46.12,46.14,44.86,-1.55
2016-07-15,45.95,45.52,46.33,45.05,0.59
2016-07-14,45.68,45.14,45.8,44.95,2.08
2016-07-13,44.75,46.58,46.71,44.56,-4.38
2016-07-12,46.8,44.58,46.93,44.51,4.56
2016-07-11,44.76,45.07,45.77,44.42,-1.43
2016-07-08,45.41,45.19,45.97,44.77,0.6
2016-07-07,45.14,47.88,48.25,44.87,-4.83
2016-07-06,47.43,46.83,47.95,45.92,1.78
2016-07-05,46.6,49.11,49.35,46.33,-4.21
2016-07-04,48.65,49.01,49.35,48.54,-0.73
2016-07-03,49.01,49.14,49.22,48.94,0.04
2016-07-01,48.99,48.38,49.3,47.9,1.37
2016-06-30,48.33,49.55,49.62,48.17,-3.11
2016-06-29,49.88,48.06,50,47.98,4.24
2016-06-28,47.85,46.59,48.18,46.54,3.28
2016-06-27,46.33,47.81,47.96,45.83,-2.75
2016-06-24,47.64,50.3,50.45,46.7,-4.93
2016-06-23,50.11,49.08,50.23,49.08,1.99
2016-06-22,49.13,50.22,50.54,48.4,0.57
2016-06-21,48.85,49.14,49.32,48.16,-1.05
2016-06-20,49.37,48.29,49.42,48.14,2.9
2016-06-17,47.98,45.99,48.29,45.83,3.83
2016-06-16,46.21,47.45,47.75,45.91,-3.75
2016-06-15,48.01,47.9,48.72,47.28,-0.99
2016-06-14,48.49,48.52,48.69,47.84,-0.8
2016-06-13,48.88,48.85,49.28,48.16,-0.39
2016-06-10,49.07,50.47,50.73,48.8,-2.95
2016-06-09,50.56,51.45,51.67,50.23,-1.31
2016-06-08,51.23,50.41,51.62,50.32,1.73
2016-06-07,50.36,49.71,50.53,49.44,1.35
2016-06-06,49.69,48.88,49.9,48.71,2.2
2016-06-03,48.62,49.04,49.41,48.33,-1.12
2016-06-02,49.17,48.9,49.47,47.97,0.33
2016-06-01,49.01,48.82,49.25,47.75,-0.18
2016-05-31,49.1,49.54,50.1,48.81,-0.83
2016-05-30,49.51,49.56,49.75,49.08,-0.14
2016-05-29,49.58,49.54,49.71,49.54,0.51
2016-05-27,49.33,49.31,49.6,48.69,-0.3
2016-05-26,49.48,49.7,50.21,49.22,-0.16
2016-05-25,49.56,49.09,49.75,48.65,1.93
2016-05-24,48.62,48.08,49.27,47.64,1.12
2016-05-23,48.08,48.46,48.5,47.4,0.69
2016-05-20,47.75,48.2,48.79,47.44,-0.85
2016-05-19,48.16,47.87,48.28,46.73,-0.06
2016-05-18,48.19,48.53,48.95,47.75,-0.25
2016-05-17,48.31,47.9,48.76,47.53,1.24
2016-05-16,47.72,46.28,47.98,46.15,3.27
2016-05-13,46.21,46.41,46.49,45.75,-1.05
2016-05-12,46.7,46,47.02,45.61,1.02
2016-05-11,46.23,44.6,46.36,43.96,3.52
2016-05-10,44.66,43.25,44.79,43.03,2.81
2016-05-09,43.44,45,45.94,43.24,-2.73
2016-05-06,44.66,44.52,45.34,43.54,0.77
2016-05-05,44.32,44.04,46.07,43.96,1.23
2016-05-04,43.78,43.85,44.88,43.22,0.3
